id,last_scraped,neighbourhood,neighbourhood_cleansed,city,country,latitude,longitude,price,bathrooms,bedrooms,beds,bed_type,guests_included
31600007,2019-02-11,Wangjing,朝阳区 / Chaoyang,北京市,China,40.00249411820013,116.48891036575972,1996.0,2.0,2.0,2.0,Real Bed,1
31600650,2019-02-11,Third Road Jucun/Liucun,西城区,Xicheng Qu,China,39.89341156775295,116.33773007327174,189.0,1.0,2.0,2.0,Real Bed,1
31600809,2019-02-11,Suzhouqiao,海淀区,Haidian Qu,China,39.98102402674412,116.30530548757008,411.0,1.0,1.0,1.0,Real Bed,1
31601074,2019-02-11,Dawanglu,朝阳区 / Chaoyang,Chaoyang Qu,China,39.91647558374613,116.47015185494382,398.0,1.0,1.0,1.0,Real Bed,1
31601250,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.911577446507614,116.42171522621504,782.0,1.0,1.0,1.0,Real Bed,2
31601715,2019-02-11,Wangfujing/Dongdan,东城区,Dongcheng,China,39.90935976196582,116.41322549750456,337.0,2.5,1.0,2.0,Real Bed,1
31601965,2019-02-11,Wangfujing/Dongdan,东城区,Dongcheng,China,39.91040261623935,116.41268696466116,749.0,2.0,2.0,2.0,Real Bed,1
31602783,2019-02-11,Yue Tan,西城区,北京市,China,39.91034642480721,116.35603092956904,560.0,1.0,2.0,2.0,Real Bed,4
31603019,2019-02-11,Shilipu,朝阳区 / Chaoyang,北京,China,39.91534277008567,116.51798389869133,290.0,1.0,1.0,1.0,Real Bed,1
31603118,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.925194258269705,116.439947753751,115.0,1.0,1.0,8.0,Real Bed,1
31603161,2019-02-11,Wudaokou,海淀区,Beijing,China,39.998733328912,116.32570872394832,270.0,2.0,1.0,1.0,Real Bed,1
31603271,2019-02-11,Third Road Jucun/Liucun,西城区,Xicheng Qu,China,39.88781886434106,116.34050065777186,88.0,1.0,0.0,1.0,Real Bed,1
31603356,2019-02-11,Chaoyang,朝阳区 / Chaoyang,北京市,China,39.89821399300551,116.4855711453559,459.0,1.0,0.0,1.0,Real Bed,1
31603765,2019-02-11,Wukesong,海淀区,Beijing,China,39.905719334324985,116.26828434920104,499.0,1.0,2.0,3.0,Real Bed,1
31603850,2019-02-11,Zhongguancun,海淀区,Haidian Qu,China,39.97636579644699,116.3111331973195,499.0,1.0,1.0,2.0,Real Bed,1
31603868,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.92620070146834,116.44036842824636,115.0,1.0,1.0,8.0,Real Bed,1
31603884,2019-02-11,,通州区 / Tongzhou,通州区,China,39.79628632037872,116.58688313373264,148.0,1.0,1.0,1.0,Real Bed,1
31604032,2019-02-11,Jinsong/Panjiayuan,朝阳区 / Chaoyang,Chaoyang Qu,China,39.87342127376992,116.45132692028834,398.0,1.0,1.0,1.0,Real Bed,1
31604211,2019-02-11,Shilipu,朝阳区 / Chaoyang,Chaoyang Qu,China,39.92484643270402,116.51857481812604,297.0,1.0,1.0,1.0,Real Bed,1
31604287,2019-02-11,Dongzhimen,东城区,Beijing,China,39.94450687292864,116.42599002422276,479.0,1.0,1.0,2.0,Real Bed,1
31604350,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Beijing,China,39.926299175771206,116.4406493510005,115.0,1.0,1.0,8.0,Real Bed,1
31604745,2019-02-11,Kaiyangli,丰台区 / Fengtai,Fengtai Qu,China,39.86963336176567,116.37389247522832,250.0,1.0,1.0,1.0,Real Bed,1
31604826,2019-02-11,Xicheng,西城区,西城区,China,39.93951125562373,116.34924799315375,398.0,1.0,0.0,1.0,Real Bed,1
31605580,2019-02-11,Wudaokou,海淀区,海淀区,China,39.99258837358626,116.3431156824547,310.0,1.0,1.0,1.0,Real Bed,1
31605787,2019-02-11,Zhongguancun,海淀区,Haidian Qu,China,39.97781685672405,116.31164527170084,499.0,1.0,1.0,2.0,Real Bed,1
31605948,2019-02-11,Xuanwu,西城区,Xicheng Qu,China,39.89221030180084,116.3787184835073,371.0,1.0,2.0,2.0,Real Bed,1
31606107,2019-02-11,,大兴区 / Daxing,大兴区,China,39.805140885718025,116.49069072429798,317.0,1.0,0.0,2.0,Real Bed,1
31606130,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.910991967555184,116.4207715909421,762.0,1.0,1.0,1.0,Real Bed,2
31606211,2019-02-11,Wudaokou,海淀区,海淀区,China,39.99108915726881,116.3427924754928,330.0,1.0,1.0,1.0,Real Bed,1
31606481,2019-02-11,Jinsong/Panjiayuan,朝阳区 / Chaoyang,Chaoyang Qu,China,39.883724969503646,116.46207903886172,270.0,1.0,1.0,2.0,Real Bed,1
31606633,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.95772306307337,116.58053556788796,283.0,1.0,2.0,1.0,Real Bed,3
31607014,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang,China,39.8970370075881,116.50592886628569,1996.0,2.0,4.0,5.0,Real Bed,1
31607124,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.92886358075335,116.43968774452928,115.0,1.0,1.0,8.0,Real Bed,1
31607131,2019-02-11,Xinjiekou,西城区,Xicheng Qu,China,39.9397818156991,116.36282369943277,425.0,1.0,2.0,2.0,Real Bed,1
31607594,2019-02-11,Wudaokou,海淀区,Haidian Qu,China,39.9915494956718,116.34165546211308,944.0,1.0,2.0,2.0,Real Bed,4
